CASRN,DTXSID,preferred_name,MammaryTumorEvidence,MammaryTumorRefs,Genotoxicity,HormoneSummary,INCHIKEY,SMILES
68-23-5,DTXSID3021069,Norethynodrel,MC,"IARC, CCRIS, Rudel2007",positive,-,ICTXHFFSOAJUMG-SLHNCBLASA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4
68162-13-0,-,"Trans-7,12-Dimethylbenz(a)anthracene-3,4-dihydrodiol",MC,CCRIS,positive,-,YZIIKMBFHLJAFT-ICSRJNTNSA-N,CC1=C2C=CC3=C(C2=C(C4=CC=CC=C14)C)C=C[C@@H]([C@H]3O)O
68359-37-5,DTXSID5035957,Cyfluthrin,MC,"EPA_OPP_dismissed, ToxRefDB",negative,E2,QQODLKZGRKWIFG-UHFFFAOYSA-N,CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C
684-93-5,DTXSID4021006,N-Nitroso-N-methylurea,MC,"ROC15, CCRIS, Rudel2007",positive,negative,ZRKWMRDKSOPRRS-UHFFFAOYSA-N,CN(C(=O)N)N=O
69409-94-5,DTXSID7024110,Fluvalinate,MC,ToxRefDB,-,-,INISTDXBRIBGOC-UHFFFAOYSA-N,CC(C)C(C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl
7008-42-6,DTXSID0020026,Acronycine,MC,"NTP, CCRIS, LCDB, Rudel2007",-,-,SMPZPKRDRQOOHT-UHFFFAOYSA-N,CC1(C=CC2=C3C(=C(C=C2O1)OC)C(=O)C4=CC=CC=C4N3C)C
71-43-2,DTXSID3039242,Benzene,MC,"IARC, ROC15, NTP, CCRIS, LCDB, Rudel2007",positive,-,UHOVQNZJYSORNB-UHFFFAOYSA-N,C1=CC=CC=C1
71-58-9,DTXSID0025527,Medroxyprogesterone acetate,MC,"IARC, CCRIS, Rudel2007",positive,-,PSGAAPLEWMOORI-PEINSRQWSA-N,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
71133-14-7,DTXSID4024644,Bromodichloroacetic acid,MC,"ROC15, NTP",positive,-,XSWVFEQKZFUULO-UHFFFAOYSA-N,C(=O)(C(Cl)(Cl)Br)O
712-68-5,DTXSID7020059,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",MC,"IARC, CCRIS, LCDB, Rudel2007",-,-,SXZZHGJWUBJKHH-UHFFFAOYSA-N,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(S2)N
71609-22-8,DTXSID60221855,"N-Hydroxy-N,N'-diacetylbenzidine",MC,"CCRIS, Rudel2007",-,-,DPQGMVKYMDBTIA-UHFFFAOYSA-N,CC(=O)NC1=CC=C(C=C1)C2=CC=C(C=C2)N(C(=O)C)O
72-33-3,DTXSID0020814,Mestranol,MC,"IARC, CCRIS, Rudel2007",positive,negative,IMSSROKUHAOUJS-MJCUULBUSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC
720-69-4,DTXSID7020396,"4,6-Diamino-2-(5-nitro-2-furyl)-s-triazine",MC,"LCDB, Rudel2007",positive,-,SUDMLGKFWIJSEI-UHFFFAOYSA-N,C1=C(OC(=C1)[N+](=O)[O-])C2=NC(=NC(=N2)N)N
72254-58-1,DTXSID5021417,Trp-P-2 acetate,MC,"LCDB, Rudel2007",negative,-,AASZBFHIHXZWRI-UHFFFAOYSA-N,CC1=C2C3=CC=CC=C3NC2=CC(=N1)N.CC(=O)O
72479-23-3,DTXSID50222775,1-Nitroso-1-ethyl-3-methylurea,MC,"CCRIS, Rudel2007",-,-,MQLQMSXXDOSWKY-UHFFFAOYSA-N,CCN(C(=O)NC)N=O
732-11-6,DTXSID5024261,Phosmet,MC,EPA_OPP,positive,P4,LMNZTLDVJIUSHT-UHFFFAOYSA-N,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O
7336-20-1,DTXSID2020397,"4,4'-Diamino-2,2'-stilbenedisulfonic acid, disodium salt",MC,"NTP_dismissed, Rudel2007",negative,-,YAKFHPREDNNSFX-UHFFFAOYSA-L,C1=CC(=C(C=C1N)S(=O)(=O)[O-])C=CC2=C(C=C(C=C2)N)S(=O)(=O)[O-].[Na+].[Na+]
7496-02-8,DTXSID9075454,6-Nitrochrysene,MC,"IARC, ROC15, CCRIS, Rudel2007",positive,-,UAWLTQJFZUYROA-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC3=C2C=C(C4=CC=CC=C34)[N+](=O)[O-]
75-01-4,DTXSID8021434,Vinyl chloride,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",positive,-,BZHJMEDXRYGGRV-UHFFFAOYSA-N,C=CCl
75-02-5,DTXSID3021435,Vinyl fluoride,MC,"IARC, ROC15, CCRIS, LCDB, Rudel2007",positive,-,XUCNUKMRBVNAPB-UHFFFAOYSA-N,C=CF
75-07-0,DTXSID5039224,Acetaldehyde,MC,"IARC, ROC15",positive,negative,IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O
